序號	書中頁碼	圖上頁碼	地圖編號	地圖名稱	分冊信息	收錄圖冊	圖番（請求圖番）	收錄圖域	所載索引圖	地區	攝影時間	測圖、測量時間	測圖時間2（製版）	測圖者	修正時間	縮圖時間	製圖時間	製版時間	製版者	製印時間	印刷時間	複製時間	複製者	調製時間	調製者	發行時間	發行者	比例尺	ps	WKT
1042	182		C1042	同安城	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國25年	中華民國29年（複製）					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((117.999637 24.666164,117.999637 24.83371,118.250205 24.83371,118.250205 24.666164,117.999637 24.666164))
1043	182		C1043	湖頭	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國29年	中華民國30年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((117.998495 25.165541,117.998495 25.334231,118.251377 25.334231,118.251377 25.165541,117.998495 25.165541))
1044	182		C1044	赤水	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國29年	中華民國31年					昭和19年（複製）									軍令部福建省陸地測量局/支那派遣軍參謀部	1:50000		POLYGON((117.999736 25.499689,117.999736 25.66693,118.250349 25.66693,118.250349 25.499689,117.999736 25.499689))
1045	182		C1045	坂面	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國29年	中華民國31年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((117.999418 25.99902,117.999418 26.167522,118.25056 26.167522,118.25056 25.99902,117.999418 25.99902))
1046	182		C1046	白塔	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國30年	中華民國31年					昭和19年（複製）									軍令部福建省陸地測量局/支那派遣軍參謀部	1:50000		POLYGON((117.998822 26.332667,117.998822 26.50035,118.251336 26.50035,118.251336 26.332667,117.998822 26.332667))
1047	182		C1047	葉墩	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國28年	中華民國31年					昭和19年（複製）									軍令部福建省陸地測量局/支那派遣軍參謀部	1:50000		POLYGON((117.998673 26.83242,117.998673 27.00077,118.251305 27.00077,118.251305 26.83242,117.998673 26.83242))
1048	182		C1048	建陽縣城	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國27年	中華民國31年					昭和19年（複製）									軍令部福建省陸地測量局/支那派遣軍參謀部	1:50000		POLYGON((117.999614 27.333128,117.999614 27.500366,118.250537 27.500366,118.250537 27.333128,117.999614 27.333128))
1049	182		C1049	五夫	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國29年	中華民國31年					昭和19年（複製）									軍令部福建省陸地測量局/支那派遣軍參謀部	1:50000		POLYGON((117.999531 27.499025,117.999531 27.667516,118.25076 27.667516,118.25076 27.499025,117.999531 27.499025))
1050	182		C1050	嵐谷	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國30年	中華民國31年					昭和19年（複製）									軍令部福建省陸地測量局/支那派遣軍參謀部	1:50000		POLYGON((117.999128 27.833158,117.999128 28.000449,118.250938 28.000449,118.250938 27.833158,117.999128 27.833158))
1051	183		C1051	岑陽關	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國30年	中華民國31年					昭和19年（複製）									軍令部福建省陸地測量局/支那派遣軍參謀部	1:50000		POLYGON((117.999657 27.999673,117.999657 28.167413,118.250344 28.167413,118.250344 27.999673,117.999657 27.999673))
1052	183		C1052	金門島	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國25年	中華民國30年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.248724 24.332151,118.248724 24.500656,118.501378 24.500656,118.501378 24.332151,118.248724 24.332151))
1053	183		C1053	蓮河	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國25年	中華民國29年（複製）					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.248716 24.499061,118.248716 24.667529,118.501147 24.667529,118.501147 24.499061,118.248716 24.499061))
1054	183		C1054	安梅	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國25年	中華民國29年（複製）					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.249482 24.666211,118.249482 24.833741,118.500602 24.833741,118.500602 24.666211,118.249482 24.666211))
1055	183		C1055	南安城	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國30年	中華民國30年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.248382 24.831872,118.248382 25.001394,118.501597 25.001394,118.501597 24.831872,118.248382 24.831872))
1056	183		C1056	千金廟	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國30年	中華民國30年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.249355 24.999327,118.249355 25.1671,118.500802 25.1671,118.500802 24.999327,118.249355 24.999327))
1057	183		C1057	永春城	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國29年	中華民國30年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.248795 25.165689,118.248795 25.33412,118.501561 25.33412,118.501561 25.165689,118.248795 25.165689))
1058	183		C1058	湖陽	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國29年	中華民國30年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.24952 25.332489,118.24952 25.500454,118.500174 25.500454,118.500174 25.332489,118.24952 25.332489))
1059	183		C1059	南埕	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國29年	中華民國30年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.249504 25.499617,118.249504 25.667222,118.50037 25.667222,118.50037 25.499617,118.249504 25.499617))
1060	183		C1060	洑口	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國29年	中華民國30年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.249311 25.665737,118.249311 25.833964,118.500911 25.833964,118.500911 25.665737,118.249311 25.665737))
1061	184		C1061	仲山	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國29年	中華民國30年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.248737 25.832307,118.248737 26.000699,118.501218 26.000699,118.501218 25.832307,118.248737 25.832307))
1062	184		C1062	梅營坂	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國30年	中華民國31年					昭和19年（複製）									軍令部福建省陸地測量局/支那派遣軍參謀部	1:50000		POLYGON((118.249808 26.165821,118.249808 26.334055,118.500277 26.334055,118.500277 26.165821,118.249808 26.165821))
1063	184		C1063	南雅	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國27年	中華民國28年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.248883 26.832636,118.248883 27.000716,118.501297 27.000716,118.501297 26.832636,118.248883 26.832636))
1064	184		C1064	漁梁	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國29年	中華民國31年					昭和19年（複製）									軍令部福建省陸地測量局/支那派遣軍參謀部	1:50000		POLYGON((118.249693 27.99959,118.249693 28.167058,118.500577 28.167058,118.500577 27.99959,118.249693 27.99959))
1065	184		C1065	盤亭	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國29年	中華民國31年					昭和19年（複製）									軍令部福建省陸地測量局/支那派遣軍參謀部	1:50000		POLYGON((118.249876 28.1661,118.249876 28.333842,118.500309 28.333842,118.500309 28.1661,118.249876 28.1661))
1066	184		C1066	金井	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國25年	中華民國29年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.498989 24.499715,118.498989 24.667161,118.750561 24.667161,118.750561 24.499715,118.498989 24.499715))
1067	184		C1067	石獅	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國25年	中華民國29年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.499088 24.665754,118.499088 24.833979,118.77864 24.833979,118.77864 24.665754,118.499088 24.665754))
1068	184		C1068	洪瀨	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國30年	中華民國30年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.499736 24.999382,118.499736 25.166943,118.750326 25.166943,118.750326 24.999382,118.499736 24.999382))
1069	184		C1069	大羅溪	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國29年	中華民國30年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.498749 25.165831,118.498749 25.334001,118.751699 25.334001,118.751699 25.165831,118.498749 25.165831))
1070	184		C1070	仙遊城	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國29年	中華民國30年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.49888 25.333047,118.49888 25.500284,118.7508 25.500284,118.7508 25.333047,118.49888 25.333047))
1071	185		C1071	鳳頂	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國29年	中華民國30年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.499368 25.498778,118.499368 25.667504,118.750571 25.667504,118.750571 25.498778,118.499368 25.498778))
1072	185		C1072	嵩口	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國30年	中華民國30年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.498991 25.665882,118.498991 25.833504,118.750591 25.833504,118.750591 25.665882,118.498991 25.665882))
1073	185		C1073	上慶	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國30年	中華民國31年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.49867 25.833028,118.49867 26.000723,118.751354 26.000723,118.751354 25.833028,118.49867 25.833028))
1074	185		C1074	羅華	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國27年迅速測圖	中華民國27年					昭和19年（複製）									軍令部福建省陸地測量局/支那派遣軍參謀部	1:50000		POLYGON((118.499596 26.499704,118.499596 26.666829,118.750149 26.666829,118.750149 26.499704,118.499596 26.499704))
1075	185		C1075	西溪	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國27年	中華民國31年（複製）					昭和19年（複製）									軍令部福建省陸地測量局/支那派遣軍參謀部	1:50000		POLYGON((118.498889 26.666105,118.498889 26.834219,118.751058 26.834219,118.751058 26.666105,118.498889 26.666105))
1076	185		C1076	玉山	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國28年	中華民國31年（複製）					昭和19年（複製）									軍令部福建省陸地測量局/支那派遣軍參謀部	1:50000		POLYGON((118.498659 26.83281,118.498659 27.000353,118.751361 27.000353,118.751361 26.83281,118.498659 26.83281))
1077	185		C1077	觀前	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國30年	中華民國31年					昭和19年（複製）									軍令部福建省陸地測量局/支那派遣軍參謀部	1:50000		POLYGON((118.498042 27.66555,118.498042 27.834173,118.752267 27.834173,118.752267 27.66555,118.498042 27.66555))
1078	185		C1078	浦城縣城	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國29年	中華民國31年					昭和19年（複製）									軍令部福建省陸地測量局/支那派遣軍參謀部	1:50000		POLYGON((118.499492 27.832944,118.499492 28.000149,118.750271 28.000149,118.750271 27.832944,118.499492 27.832944))
1079	185		C1079	仙陽	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國30年	中華民國31年					昭和19年（複製）									軍令部福建省陸地測量局/支那派遣軍參謀部	1:50000		POLYGON((118.497649 27.998495,118.497649 28.167675,118.752259 28.167675,118.752259 27.998495,118.497649 27.998495))
1080	185		C1080	官路	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國30年	中華民國31年					昭和19年（複製）									軍令部福建省陸地測量局/支那派遣軍參謀部	1:50000		POLYGON((118.499775 28.165585,118.499775 28.333876,118.750247 28.333876,118.750247 28.165585,118.499775 28.165585))
1081	186		C1081	崇武	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國25年	中華民國30年（複製）					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.747682 24.824056,118.747682 25.001302,119.031694 25.001302,119.031694 24.824056,118.747682 24.824056))
1082	186		C1082	惠安城	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國25年	中華民國30年（複製）					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.74969 24.999354,118.74969 25.16692,119.000531 25.16692,119.000531 24.999354,118.74969 24.999354))
1083	186		C1083	瀨溪	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國26年	中華民國30年（複製）					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.749652 25.332336,118.749652 25.50075,119.000368 25.50075,119.000368 25.332336,118.749652 25.332336))
1084	186		C1084	馬舖	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國30年	中華民國30年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.749659 25.49935,118.749659 25.667137,119.000247 25.667137,119.000247 25.49935,118.749659 25.49935))
1085	186		C1085	赤錫	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國30年	中華民國30年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.749704 25.665625,118.749704 25.834318,119.000402 25.834318,119.000402 25.665625,118.749704 25.665625))
1086	186		C1086	永泰城	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國30年	中華民國31年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.749356 25.832632,118.749356 26.000474,119.000559 26.000474,119.000559 25.832632,118.749356 25.832632))
1087	186		C1087	坂中	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國30年	中華民國31年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.749193 25.999433,118.749193 26.167376,119.000777 26.167376,119.000777 25.999433,118.749193 25.999433))
1088	186		C1088	閩清縣城	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國27年	中華民國31年（複製）					昭和19年（複製）									軍令部福建省陸地測量局/支那派遣軍參謀部	1:50000		POLYGON((118.748795 26.166148,118.748795 26.333689,119.001279 26.333689,119.001279 26.166148,118.748795 26.166148))
1089	186		C1089	湄洲島	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國25年						昭和19年調製									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.99917 24.999595,118.99917 25.167206,119.250756 25.167206,119.250756 24.999595,118.99917 24.999595))
1090	186		C1090	笏石	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國25年	中華民國30年（複製）					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.999258 25.164948,118.999258 25.33433,119.250699 25.33433,119.250699 25.164948,118.999258 25.164948))
1091	187		C1091	莆田城	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國24年	中華民國30年（複製）					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.999149 25.3323,118.999149 25.500945,119.251185 25.500945,119.251185 25.3323,118.999149 25.3323))
1092	187		C1092	新縣	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國26年	中華民國31年（複製）					昭和19年（複製）									軍令部福建省陸地測量局/支那派遣軍參謀部	1:50000		POLYGON((118.999111 25.499243,118.999111 25.667032,119.250877 25.667032,119.250877 25.499243,118.999111 25.499243))
1093	187		C1093	崔裡	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國30年	中華民國30年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.998842 25.665949,118.998842 25.834001,119.251244 25.834001,119.251244 25.665949,118.998842 25.665949))
1094	187		C1094	南嶼	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國30年	中華民國30年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.999645 25.832502,118.999645 26.000308,119.250617 26.000308,119.250617 25.832502,118.999645 25.832502))
1095	187		C1095	竹崎	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國26年	中華民國26年					昭和19年（複製）									參謀本部福建省陸地測量局	1:50000		POLYGON((118.99846 25.999405,118.99846 26.167155,119.252553 26.167155,119.252553 25.999405,118.99846 25.999405))
1096	187		C1096	白沙	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國26年						昭和19年（複製）									參謀本部福建省陸地測量局	1:50000		POLYGON((118.999237 26.165106,118.999237 26.334726,119.25118 26.334726,119.25118 26.165106,118.999237 26.165106))
1097	187		C1097	太湖	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國30年	中華民國30年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((118.998998 26.332001,118.998998 26.501236,119.251097 26.501236,119.251097 26.332001,118.998998 26.332001))
1098	187		C1098	鸕鶿嶼	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國25年	中華民國30年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((119.249262 24.988048,119.249262 25.16715,119.500708 25.16715,119.500708 24.988048,119.249262 24.988048))
1099	187		C1099	江陰島	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國24年	中華民國30年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((119.249706 25.33218,119.249706 25.501029,119.500232 25.501029,119.500232 25.33218,119.249706 25.33218))
1100	187		C1100	福清城	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國24年	中華民國30年					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((119.499495 26.499668,119.499495 26.66696,119.750505 26.66696,119.750505 26.499668,119.499495 26.499668))
1101	188		C1101	尚幹	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國24年						昭和19年（複製）									參謀本部福建省陸地測量局	1:50000		POLYGON((119.249429 25.832604,119.249429 26.000916,119.501039 26.000916,119.501039 25.832604,119.249429 25.832604))
1102	188		C1102	閩侯（福州）	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國24年修測						昭和19年（複製）									參謀本部福建省陸地測量局	1:50000		POLYGON((119.248825 25.999078,119.248825 26.166949,119.50054 26.166949,119.50054 25.999078,119.248825 25.999078))
1103	188		C1103	宦溪	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國22年	中華民國26年統成					昭和19年（複製）									參謀本部福建省陸地測量局	1:50000		POLYGON((119.248657 26.16608,119.248657 26.3337,119.502086 26.3337,119.502086 26.16608,119.248657 26.16608))
1104	188		C1104	南日島	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國25年	中華民國30年（複製）					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((119.498664 25.154477,119.498664 25.334048,119.774899 25.334048,119.774899 25.154477,119.498664 25.154477))
1105	188		C1105	江田	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國24年	中華民國30年（複製）					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((119.499231 25.6657,119.499231 25.834167,119.75081 25.834167,119.75081 25.6657,119.499231 25.6657))
1106	188		C1106	長樂城	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國23年						昭和19年（複製）									參謀本部福建省陸地測量局	1:50000		POLYGON((119.499682 25.833075,119.499682 26.000294,119.750191 26.000294,119.750191 25.833075,119.499682 25.833075))
1107	188		C1107	長門	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省								昭和19年（複製）									參謀本部福建省陸地測量局	1:50000		POLYGON((119.499011 25.999487,119.499011 26.167198,119.751033 26.167198,119.751033 25.999487,119.499011 25.999487))
1108	188		C1108	連江城	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國23年航測	中華民國25年調查					昭和19年（複製）									參謀本部福建省陸地測量局	1:50000		POLYGON((119.499712 26.166396,119.499712 26.333726,119.750416 26.333726,119.750416 26.166396,119.499712 26.166396))
1109	188		C1109	透堡	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國23年航測	中華民國25年調查					昭和19年（複製）									參謀本部福建省陸地測量局	1:50000		POLYGON((119.498871 26.332708,119.498871 26.500653,119.750925 26.500653,119.750925 26.332708,119.498871 26.332708))
1110	188		C1110	羅源城	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國23年航測	中華民國25年調查					昭和19年（複製）									福建省陸地測量隊/支那派遣軍參謀部	1:50000		POLYGON((119.249252 25.666496,119.249252 25.833677,119.500085 25.833677,119.500085 25.666496,119.249252 25.666496))
1111	189		C1111	馬祖	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國26根據海圖縮編						昭和19年（複製）									參謀本部福建省陸地測量局	1:50000		POLYGON((119.748737 25.999725,119.748737 26.167226,120.000935 26.167226,120.000935 25.999725,119.748737 25.999725))
1112	189		C1112	黃岐	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國23年航測	中華民國25年調查														參謀本部福建省陸地測量局	1:50000		POLYGON((119.748903 26.166214,119.748903 26.333738,120.000948 26.333738,120.000948 26.166214,119.748903 26.166214))
1113	189		C1113	玉廩	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國23年航測	中華民國25年調查														參謀本部福建省陸地測量局	1:50000		POLYGON((119.74923 26.332468,119.74923 26.500897,120.008664 26.500897,120.008664 26.332468,119.74923 26.332468))
1114	189		C1114	鑑江	第一冊	中國大陸五萬分之一地圖集成	福建省五萬分之一圖		福建省索引圖1	福建省		中華民國23年航測	中華民國25年調查														軍令部福建省陸地測量局/支那派遣軍參謀部	1:50000		POLYGON((119.749081 26.499161,119.749081 26.667277,120.000469 26.667277,120.000469 26.499161,119.749081 26.499161))
1115	189		C1115	連江縣	第一冊	中國大陸五萬分之一地圖集成	民國製福建省五萬分之一圖1號		福建省索引圖2	福建省								昭和15年								昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((119.527083 26.083196,119.527083 26.250236,119.764731 26.250236,119.764731 26.083196,119.527083 26.083196))
1116	189		C1116	長樂縣	第一冊	中國大陸五萬分之一地圖集成	民國製福建省五萬分之一圖2號		福建省索引圖2	福建省								昭和15年								昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((119.5273 25.916338,119.5273 26.083664,119.764231 26.083664,119.764231 25.916338,119.5273 25.916338))
1117	189		C1117	壺井	第一冊	中國大陸五萬分之一地圖集成	民國製福建省五萬分之一圖3號		福建省索引圖2	福建省								昭和15年								昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((119.514973 25.749635,119.514973 25.917318,119.765042 25.917318,119.765042 25.749635,119.514973 25.749635))
1118	189		C1118	福州北部	第一冊	中國大陸五萬分之一地圖集成	民國製福建省五萬分之一圖4號		福建省索引圖2	福建省								昭和15年								昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((119.293634 26.082669,119.293634 26.251179,119.527736 26.251179,119.527736 26.082669,119.293634 26.082669))
1119	189		C1119	福州	第一冊	中國大陸五萬分之一地圖集成	民國製福建省五萬分之一圖5號		福建省索引圖2	福建省								昭和15年								昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((119.293611 25.916183,119.293611 26.084112,119.527693 26.084112,119.527693 25.916183,119.293611 25.916183))
1120	189		C1120	侯官市	第一冊	中國大陸五萬分之一地圖集成	民國製福建省五萬分之一圖6號		福建省索引圖2	福建省								昭和15年								昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((119.063351 26.082611,119.063351 26.250629,119.294039 26.250629,119.294039 26.082611,119.063351 26.082611))
1121	190		C1121	南奧	第一冊	中國大陸五萬分之一地圖集成	民國製福建省五萬分之一圖7號		福建省索引圖2	福建省								昭和15年								昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((119.062891 25.915447,119.062891 26.084932,119.294268 26.084932,119.294268 25.915447,119.062891 25.915447))
1122	190		C1122	七洲島	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖海南島1號		海南省索引圖	海南省		中華民國25年						昭和15年								昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((111.026187 19.86288,111.026187 20.029101,111.28078 20.029101,111.28078 19.86288,111.026187 19.86288))
1123	190		C1123	翁田市	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖海南島2號		海南省索引圖	海南省		中華民國25年						昭和15年								昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((110.806587 19.862928,110.806587 20.041099,111.027571 20.041099,111.027571 19.862928,110.806587 19.862928))
